,CountryID,Country,League,Season,Club,ClubID,Squad,avgAge,Foreigners,avgMarketValue,totalMarketValue,Stadium,StadiumCap,Club_income,Club_expenditure,Club_OverallBalance,Coach,Club_victories,Players,Rank
138,189,England,Premier League,2021,Watford FC,1010,47,25.8,36,€3.32m,€156.20m,Vicarage Road,21.577 Seats,€12.85m,€43.50m,€-30.65m,Roy Hodgson;Xisco Muñoz;Claudio Ranieri,Relegated from 1st league,Daniel Bachmann;Pontus Dahlberg;Ben Foster;Rob Elliot;Vincent Angelini;Samir Caetano;William Troost-Ekong;Christian Kabasele;Nicolas N'Koulou;Francisco Sierralta;Craig Cathcart;Mattie Pollock;Derek Agyakwa;Hassane Kamara;Adam Masina;Danny Rose;James Morris;Jeremy Ngakia;Kiko Femenía;Edo Kayembe;Jaime Alvarado;Imrân Louza;Moussa Sissoko;Ozan Tufan;Peter Etebo;Tom Dele-Bashiru;Domingos Quina;Tom Cleverley;Juraj Kucka;Dan Gosling;Kamil Conteh;Ken Sema;Philip Zinckernagel;Kwadwo Baah;Adrian Blake;Ismaïla Sarr;Samuel Kalu;João Pedro;Emmanuel Dennis;Cucho Hernández;Joshua King;Andre Gray;Ashley Fletcher;Troy Deeney;Tiago Cukur;Shaqai Forde;Jack Grieves,19.0
139,189,England,Premier League,2021,Burnley FC,1132,35,27.3,16,€3.94m,€138.05m,Turf Moor,21.994 Seats,€40.50m,€49.40m,€-8.90m,Sean Dyche;Mike Jackson,Relegated from 1st league,Nick Pope;Bailey Peacock-Farrell;Wayne Hennessey;Will Norris;Lukas Jensen;Sam Waller;James Tarkowski;Nathan Collins;Ben Mee;Kevin Long;Erik Pieters;Bobby Thomas;Charlie Taylor;Owen Dodgson;Connor Roberts;Matthew Lowton;Phil Bardsley;Ashley Westwood;Jack Cork;Josh Brownhill;Dale Stephens;Anthony Mancini;Mark Helm;Lewis Richardson;Dwight McNeil;Maxwel Cornet;Dara Costelloe;Jóhann Berg Gudmundsson;Aaron Lennon;Wout Weghorst;Chris Wood;Jay Rodríguez;Matej Vydra;Ashley Barnes;Joe McGlynn,18.0
140,40,Germany,Bundesliga,2015,Bayern Munich,27,34,25.9,19,€17.53m,€596.05m,Allianz Arena,75.024 Seats,€33.00m,€90.75m,€-57.75m,Pep Guardiola,Herbstmeister (Autumn Champion);German Supercup Runner Up;German Champion;German Cup winner ;Champions League Participant,Manuel Neuer;Sven Ulreich;Tom Starke;Ivan Lucic;David Alaba;Jérôme Boateng;Medhi Benatia;Serdar Tasci;Dante;Holger Badstuber;Jan Kirchhoff;Juan Bernat;Phillipp Steinhart;Philipp Lahm;Rafinha;Javi Martínez;Joshua Kimmich;Xabi Alonso;Arturo Vidal;Thiago;Sebastian Rode;Pierre-Emile Höjbjerg;Gianluca Gaudino;Julian Green;Mario Götze;Patrick Weihrauch;Milos Pantovic;Kingsley Coman;Franck Ribéry;Fabian Benko;Douglas Costa;Arjen Robben;Thomas Müller;Robert Lewandowski,1.0
141,40,Germany,Bundesliga,2015,Borussia Dortmund,16,30,24.9,13,€11.77m,€352.95m,SIGNAL IDUNA PARK,81.365 Seats,€42.55m,€20.00m,+€22.55m,Thomas Tuchel,Europa League Participant;German Cup runner-up;German Runner Up,Roman Bürki;Roman Weidenfeller;Hendrik Bonmann;Mats Hummels;Sokratis Papastathopoulos;Matthias Ginter;Neven Subotic;Patrick Fritsch;Marcel Schmelzer;Ju-ho Park;Lukasz Piszczek;Erik Durm;Pascal Stenzel;Felix Passlack;Julian Weigl;Sven Bender;Nuri Sahin;Jon Gorenc Stankovic;Ilkay Gündogan;Gonzalo Castro;Kevin Kampl;Moritz Leitner;Marco Reus;Henrikh Mkhitaryan;Shinji Kagawa;Adnan Januzaj;Jonas Hofmann;Christian Pulisic;Pierre-Emerick Aubameyang;Adrián Ramos,2.0
142,40,Germany,Bundesliga,2015,VfL Wolfsburg,82,35,25.5,19,€7.73m,€270.43m,Volkswagen Arena,30.000 Seats,€111.30m,€68.10m,+€43.20m,Dieter Hecking,German Super Cup Winner;Champions League Participant,Diego Benaglio;Koen Casteels;Max Grün;Niklas Klinger;Ricardo Rodríguez;Robin Knoche;Timm Klose;Naldo;Dante;Felipe Lopes;Carlos Ascues;Moritz Sprenger;Vieirinha;Marcel Schäfer;Jannes Horn;Sebastian Jung;Luiz Gustavo;Josuha Guilavogui;Christian Träsch;Maximilian Arnold;Paul Seguin;Ivan Perisic;Kevin De Bruyne;Aaron Hunt;Francisco Rodríguez;Julian Draxler;André Schürrle;Bruno Henrique;Leandro Putaro;Daniel Caligiuri;Ismail Azzaoui;Sebastian Stolze;Max Kruse;Bas Dost;Nicklas Bendtner,8.0
143,40,Germany,Bundesliga,2015,Bayer 04 Leverkusen,15,33,24.2,21,€7.31m,€241.30m,BayArena,30.210 Seats,€63.25m,€58.00m,+€5.25m,Roger Schmidt,Champions League Participant;Europa League Participant,Bernd Leno;Dario Kresic;David Yelldell;Ömer Toprak;Jonathan Tah;Tin Jedvaj;Kyriakos Papadopoulos;André Ramalho;Joel Abu Hanna;Wendell;Konstantinos Stafylidis;Sebastian Boenisch;Giulio Donati;Roberto Hilbert;Benjamin Henrichs;Lukas Boeder;Robin Becker;Lars Bender;Christoph Kramer;Hakan Calhanoglu;Kevin Kampl;Charles Aránguiz;Marlon Frey;Julian Brandt;Vladlen Yurchenko;Patrik Dzalto;Heung-min Son;Robbie Kruse;Karim Bellarabi;Admir Mehmedi;Seung-woo Ryu;Chicharito;Stefan Kießling,3.0
144,40,Germany,Bundesliga,2015,FC Schalke 04,33,32,24.9,14,€7.04m,€225.20m,Veltins-Arena,62.271 Seats,€57.20m,€37.10m,+€20.10m,André Breitenreiter,Europa League Participant,Ralf Fährmann;Fabian Giefer;Michael Gspurning;Alexander Nübel;Christian Wetklo;Joel Matip;Benedikt Höwedes;Matija Nastasic;Kaan Ayhan;Marvin Friedrich;Thilo Kehrer;Sead Kolasinac;Dennis Aogo;Atsuto Uchida;Júnior Caiçara;Sascha Riether;Johannes Geis;Roman Neustädter;Marco Höger;Leon Goretzka;Pierre-Emile Höjbjerg;Alessandro Schöpf;Max Meyer;Younès Belhanda;Julian Draxler;Fabian Reese;Leroy Sané;Sidney Sam;Eric Maxim Choupo-Moting;Klaas-Jan Huntelaar;Franco Di Santo;Felix Platte,5.0
145,40,Germany,Bundesliga,2015,Borussia Mönchengladbach,18,29,25.4,17,€6.42m,€186.15m,Stadion im Borussia-Park,54.042 Seats,€15.70m,€38.00m,€-22.30m,Lucien Favre;André Schubert,Champions League Participant,Yann Sommer;Tobias Sippel;Christofer Heimeroth;Andreas Christensen;Álvaro Domínguez;Tony Jantschke;Martin Hinteregger;Havard Nordtveit;Nico Elvedi;Martin Stranzl;Roel Brouwers;Oscar Wendt;Nico Schulz;Julian Korb;Marvin Schulz;Granit Xhaka;Mahmoud Dahoud;Djibril Sow;Marlon Ritter;Lars Stindl;Thorgan Hazard;Fabian Johnson;Patrick Herrmann;Ibrahima Traoré;Jonas Hofmann;André Hahn;Raffael;Josip Drmic;Branimir Hrgota,4.0
146,40,Germany,Bundesliga,2015,TSG 1899 Hoffenheim,533,30,24.9,16,€3.01m,€90.20m,PreZero Arena,30.150 Seats,€57.15m,€23.40m,+€33.75m,Markus Gisdol;Julian Nagelsmann;Huub Stevens,,Oliver Baumann;Jens Grahl;Alexander Stolz;Niklas Süle;Fabian Schär;Ermin Bicakcic;Jin-su Kim;Pavel Kaderabek;Jonathan Schmid;Jeremy Toljan;Sebastian Rudy;Eugen Polanski;Pirmin Schwegler;Tobias Strobl;Benedikt Gimber;Nadiem Amiri;Russell Canouse;Joelinton;Jiloan Hamad;Steven Zuber;Philipp Ochs;Kai Herdling;Baris Atik;Kevin Volland;Andrej Kramaric;Eduardo Vargas;Tarik Elyounoussi;Mark Uth;Ádám Szalai;Kevin Kuranyi,15.0
147,40,Germany,Bundesliga,2015,1.FSV Mainz 05,39,39,25.3,22,€2.18m,€85.15m,Mewa Arena,33.305 Seats,€34.20m,€13.85m,+€20.35m,Martin Schmidt,,Loris Karius;Gianluca Curci;Jannik Huth;Robin Zentner;Daniel Zeaiter;Stefan Bell;Niko Bungert;Gonzalo Jara;Leon Balogun;Henrique Sereno;Alexander Hack;Ju-ho Park;Pierre Bengtsson;Gaëtan Bussmann;Daniel Brosinski;Giulio Donati;Julian Baumgartlinger;Fabian Frei;Niki Zimling;Ja-cheol Koo;Danny Latza;Christoph Moritz;Suat Serdar;Elkin Soto;Yunus Malli;Pablo de Blasis;Todor Nedelev;Philipp Klement;Patrick Pflücke;Julian-Maurice Derstroff;Jairo Samperio;Christian Clemens;Maximilian Beister;Devante Parker;Yoshinori Muto;Jhon Córdoba;Emil Berggreen;Florian Niederlechner;Karim Onisiwo,6.0
