id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
14081,ben-watson,14.0,-,-,2,-,-,926',,
6710,per-mertesacker,,,,,,,,,
50935,chicharito,38.0,19,3,9,-,-,2.936',,
307781,lynden-gooch,45.0,-,6,10,-,-,3.492',,
635336,imran-louza,22.0,-,-,6,-,-,1.584',,
128229,robbie-brady,7.0,-,-,1,-,-,217',,
372240,mads-bech-sorensen,15.0,-,-,3,-,-,1.143',,
148153,lewis-dunk,31.0,1,-,3,-,1,2.691',,
580030,james-furlong,27.0,1,4,6,1,-,2.412',,
463527,kjell-scherpen,13.0,-,,-,-,-,1.200',19.0,3.0
571827,lewis-richards,19.0,-,-,2,-,-,1.411',,
183301,luke-mcgee,48.0,-,,3,-,-,4.320',47.0,20.0
245744,takuma-asano,31.0,3,4,1,-,-,1.841',,
140191,ryan-fredericks,15.0,-,-,1,-,-,745',,
404586,tyreke-johnson,36.0,1,-,4,-,-,2.379',,
87856,roderick-miranda,23.0,2,-,4,-,1,2.033',,
61694,neil-etheridge,28.0,-,,2,-,-,2.530',50.0,5.0
88590,shkodran-mustafi,12.0,1,-,1,-,-,703',,
197642,chuba-akpom,53.0,11,3,7,1,-,2.953',,
67355,ashley-williams,,,,,,,,,
242632,glen-kamara,52.0,4,5,1,1,-,3.860',,
81999,joselu,38.0,14,5,-,-,-,3.156',,
612749,isaac-price,32.0,1,2,7,-,-,2.478',,
146509,conor-townsend,44.0,-,2,4,-,-,3.899',,
594276,tiago-cukur,26.0,1,1,2,-,-,1.247',,
148368,divock-origi,18.0,6,4,-,-,-,597',,
315779,christian-pulisic,38.0,8,5,2,-,-,2.208',,
365544,pontus-dahlberg,30.0,-,,4,-,-,2.700',54.0,6.0
419325,lewis-gibson,6.0,-,1,-,-,-,297',,
212847,adam-webster,24.0,3,-,5,-,-,1.585',,
52432,felipe-mattioni,,,,,,,,,
258188,rolando-aarons,1.0,-,-,-,-,-,8',,
121324,john-egan,48.0,2,2,5,-,-,4.350',,
169566,adam-king,37.0,2,3,5,-,-,2.383',,
206746,kenny-tete,20.0,2,1,1,-,-,1.339',,
74943,juraj-kucka,27.0,1,1,4,1,-,1.949',,
665390,jaden-philogene,21.0,9,3,2,-,-,1.158',,
258199,ethan-robson,25.0,1,1,3,-,-,1.907',,
335541,oliver-shenton,31.0,6,-,3,-,-,1.890',,
111630,erik-lamela,24.0,5,3,6,-,-,1.132',,
657994,aaron-rowe,1.0,-,-,-,-,-,11',,
90466,gylfi-sigurdsson,,,,,,,,,
354352,frederic-guilbert,36.0,1,5,4,-,-,2.776',,
93831,tom-trybull,20.0,3,-,8,-,-,1.411',,
409106,peter-etebo,10.0,-,-,3,-,-,487',,
45272,youssouf-mulumbu,,,,,,,,,
502074,sylvester-jasper,41.0,3,4,6,-,-,2.203',,
288259,michael-verrips,5.0,-,,-,-,-,450',9.0,1.0
495033,nathan-bishop,53.0,-,,-,-,-,4.770',64.0,16.0
3668,lloyd-dyer,,,,,,,,,
444208,michael-obafemi,34.0,12,3,3,-,-,2.128',,
340194,regan-poole,50.0,1,2,3,-,-,4.448',,
149716,ivan-cavaleiro,21.0,2,1,1,-,-,626',,
158700,tendayi-darikwa,51.0,2,5,15,-,-,4.320',,
64598,bernardo-espinosa,45.0,4,1,6,-,-,3.899',,
319745,dani-ceballos,18.0,-,1,1,-,-,338',,
37442,danny-simpson,4.0,-,-,3,-,-,322',,
200512,sadio-mane,51.0,23,5,8,-,-,3.939',,
131505,rodrigo,34.0,6,1,9,-,-,2.501',,
413403,ezri-konsa,31.0,2,-,4,1,1,2.584',,
488362,conor-gallagher,39.0,8,5,12,-,-,3.210',,
148657,tomas-kalas,37.0,-,1,5,-,-,3.281',,
406637,tashan-oakley-boothe,17.0,1,1,2,-,-,1.381',,
648699,brennan-camp,17.0,1,1,4,-,-,1.388',,
314183,karlan-grant,45.0,18,7,2,-,-,3.475',,
568535,theo-corbeanu,35.0,3,4,1,-,-,2.007',,
431475,mateusz-bogusz,22.0,4,7,2,-,-,1.477',,
565822,harvey-elliott,13.0,1,1,-,-,-,677',,
31642,geoff-cameron,29.0,-,1,6,-,-,2.326',,
184381,shani-tarashaj,6.0,-,-,-,-,-,121',,
41414,lucas-leiva,62.0,3,1,14,-,-,3.169',,
357658,mark-travers,46.0,-,,3,-,-,4.140',39.0,21.0
852517,shaqai-forde,3.0,1,-,-,-,-,226',,
186590,john-stones,27.0,2,-,1,-,-,2.159',,
77544,george-friend,17.0,-,-,2,1,-,1.261',,
195906,albian-ajeti,17.0,3,1,1,-,-,546',,
103565,wahbi-khazri,33.0,10,1,6,-,-,2.426',,
321247,emiliano-buendia,37.0,4,6,1,-,-,2.070',,
525247,max-kilman,34.0,1,-,3,-,-,3.048',,
731466,teddy-sharman-lowe,20.0,-,,-,-,-,1.800',40.0,2.0
503679,rhys-williams,17.0,2,1,5,-,-,1.293',,
703577,kgaogelo-chauke,23.0,-,-,2,-,-,1.938',,
203460,jack-grealish,39.0,6,4,3,-,-,2.730',,
92469,matt-ritchie,19.0,-,2,5,-,-,1.412',,
28140,max-gradel,39.0,7,12,7,-,-,3.246',,
20007,pablo-zabaleta,,,,,,,,,
34130,tom-heaton,2.0,-,,-,-,-,112',2.0,1.0
226049,freddie-woodman,6.0,-,,-,-,-,540',13.0,1.0
328658,kristoffer-ajer,28.0,1,2,5,-,-,2.267',,
204294,saman-ghoddos,23.0,1,5,3,-,-,914',,
270171,vitaly-janelt,35.0,4,1,4,-,-,2.596',,
61814,david-button,11.0,-,,-,-,-,1.020',14.0,4.0
45395,jonathan-howson,49.0,1,4,11,-,-,4.349',,
547534,josh-martin,32.0,4,4,-,-,1,2.018',,
179451,donald-love,29.0,-,1,8,-,-,1.986',,
181579,james-ward-prowse,42.0,11,8,3,-,1,3.751',,
148262,jeff-hendrick,15.0,1,-,1,-,-,858',,
339795,marcus-barnes,,,,,,,,,
