,League,Season,Club,Rank
157,Bundesliga,2015,Hannover 96,18.0
158,Bundesliga,2016,Bayern Munich,1.0
159,Bundesliga,2016,RB Leipzig,2.0
160,Bundesliga,2016,Bor. Dortmund,3.0
161,Bundesliga,2016,TSG Hoffenheim,4.0
162,Bundesliga,2016,1.FC Köln,5.0
163,Bundesliga,2016,Hertha BSC,6.0
164,Bundesliga,2016,SC Freiburg,7.0
165,Bundesliga,2016,Werder Bremen,8.0
166,Bundesliga,2016,Bor. M'gladbach,9.0
167,Bundesliga,2016,FC Schalke 04,10.0
168,Bundesliga,2016,E. Frankfurt,11.0
169,Bundesliga,2016,B. Leverkusen,12.0
170,Bundesliga,2016,FC Augsburg,13.0
171,Bundesliga,2016,Hamburger SV,14.0
172,Bundesliga,2016,1.FSV Mainz 05,15.0
173,Bundesliga,2016,VfL Wolfsburg,16.0
174,Bundesliga,2016,FC Ingolstadt,17.0
175,Bundesliga,2016,Darmstadt 98,18.0
176,Bundesliga,2017,Bayern Munich,1.0
177,Bundesliga,2017,FC Schalke 04,2.0
178,Bundesliga,2017,TSG Hoffenheim,3.0
179,Bundesliga,2017,Bor. Dortmund,4.0
180,Bundesliga,2017,B. Leverkusen,5.0
181,Bundesliga,2017,RB Leipzig,6.0
182,Bundesliga,2017,VfB Stuttgart,7.0
183,Bundesliga,2017,E. Frankfurt,8.0
184,Bundesliga,2017,Bor. M'gladbach,9.0
185,Bundesliga,2017,Hertha BSC,10.0
186,Bundesliga,2017,Werder Bremen,11.0
187,Bundesliga,2017,FC Augsburg,12.0
188,Bundesliga,2017,Hannover 96,13.0
189,Bundesliga,2017,1.FSV Mainz 05,14.0
190,Bundesliga,2017,SC Freiburg,15.0
191,Bundesliga,2017,VfL Wolfsburg,16.0
192,Bundesliga,2017,Hamburger SV,17.0
193,Bundesliga,2017,1.FC Köln,18.0
194,Bundesliga,2018,Bayern Munich,1.0
195,Bundesliga,2018,Bor. Dortmund,2.0
196,Bundesliga,2018,RB Leipzig,3.0
197,Bundesliga,2018,B. Leverkusen,4.0
198,Bundesliga,2018,Bor. M'gladbach,5.0
199,Bundesliga,2018,VfL Wolfsburg,6.0
200,Bundesliga,2018,E. Frankfurt,7.0
201,Bundesliga,2018,Werder Bremen,8.0
202,Bundesliga,2018,TSG Hoffenheim,9.0
203,Bundesliga,2018,F. Düsseldorf,10.0
204,Bundesliga,2018,Hertha BSC,11.0
205,Bundesliga,2018,1.FSV Mainz 05,12.0
206,Bundesliga,2018,SC Freiburg,13.0
207,Bundesliga,2018,FC Schalke 04,14.0
208,Bundesliga,2018,FC Augsburg,15.0
209,Bundesliga,2018,VfB Stuttgart,16.0
210,Bundesliga,2018,Hannover 96,17.0
211,Bundesliga,2018,1.FC Nuremberg,18.0
212,Bundesliga,2019,Bayern Munich,1.0
213,Bundesliga,2019,Bor. Dortmund,2.0
214,Bundesliga,2019,RB Leipzig,3.0
215,Bundesliga,2019,Bor. M'gladbach,4.0
216,Bundesliga,2019,B. Leverkusen,5.0
217,Bundesliga,2019,TSG Hoffenheim,6.0
218,Bundesliga,2019,VfL Wolfsburg,7.0
219,Bundesliga,2019,SC Freiburg,8.0
220,Bundesliga,2019,E. Frankfurt,9.0
221,Bundesliga,2019,Hertha BSC,10.0
222,Bundesliga,2019,Union Berlin,11.0
223,Bundesliga,2019,FC Schalke 04,12.0
224,Bundesliga,2019,1.FSV Mainz 05,13.0
225,Bundesliga,2019,1.FC Köln,14.0
226,Bundesliga,2019,FC Augsburg,15.0
227,Bundesliga,2019,Werder Bremen,16.0
228,Bundesliga,2019,F. Düsseldorf,17.0
229,Bundesliga,2019,SC Paderborn,18.0
230,Bundesliga,2020,Bayern Munich,1.0
231,Bundesliga,2020,RB Leipzig,2.0
232,Bundesliga,2020,Bor. Dortmund,3.0
233,Bundesliga,2020,VfL Wolfsburg,4.0
